{'temperatura': 26.2, 'presion': 1008.1, 'altitud': 0.3, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -4.9, 'gyro_y': 1.0, 'gyro_z': 3.5, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 244912.0}
{'temperatura': 26.2, 'presion': 1008.1, 'altitud': 0.3, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -2.6, 'gyro_y': 3.7, 'gyro_z': -1.5, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 245367.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.6, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -4.1, 'gyro_y': 1.3, 'gyro_z': 1.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 245822.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.4, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.4, 'gyro_y': 0.3, 'gyro_z': -0.1, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 246277.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.6, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.2, 'gyro_y': 2.9, 'gyro_z': 0.5, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 247187.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.6, 'aceleracion_y': 0.0, 'aceleracion_z': 0.6, 'gyro_x': -3.4, 'gyro_y': 7.3, 'gyro_z': 1.1, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 247642.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.6, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': 4.3, 'gyro_z': 1.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 248096.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.7, 'aceleracion_x': -0.7, 'aceleracion_y': 0.0, 'aceleracion_z': 0.6, 'gyro_x': -3.1, 'gyro_y': 2.6, 'gyro_z': 0.2, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 248551.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.6, 'aceleracion_y': 0.0, 'aceleracion_z': 0.6, 'gyro_x': -2.9, 'gyro_y': 7.0, 'gyro_z': 0.6, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 249006.0}
{'temperatura': 26.2, 'presion': 1008.0, 'altitud': 0.5, 'aceleracion_x': -0.7, 'aceleracion_y': -0.0, 'aceleracion_z': 0.7, 'gyro_x': -3.6, 'gyro_y': 3.1, 'gyro_z': 0.6, 'latitud_carga_primaria': 0.0, 'longitud_carga_primaria': 0.0, 'latitud_carga_secundaria': 0.0, 'longitud_carga_secundaria': 0.0, 'distancia': 0.0, 'cardinal': '', 'tiempo': 249461.0}
